"","MCL.01_PT","MCL.05_PT","MCL.1_PT","HF.01_PT","HF.05_PT","HF.1_PT","CW.01_PT","CW.05_PT","CW.1_PT","","MCL.01_Perf","MCL.05_Perf","MCL.1_Perf","HF.01_Perf","HF.05_Perf","HF.1_Perf","CW.01_Perf","CW.05_Perf","CW.1_Perf"
"3-10-0.2-50",2.99,2.91,2.62,3.02,2.95,2.82,2.32,2.43,2.44,NA,0.93,0.88,0.84,0.88,0.73,0.57,0.76,0.8,0.8
"3-10-0.2-100",3.03,2.88,2.67,2.99,2.99,2.97,2.09,2.08,2.15,NA,0.95,0.89,0.85,0.87,0.83,0.77,0.71,0.71,0.73
"3-10-0.6-50",3.07,2.96,2.73,2.92,2.83,2.7,2.38,2.4,2.4,NA,0.95,0.91,0.87,0.87,0.72,0.57,0.8,0.82,0.82
"3-10-0.6-100",2.98,2.65,2.55,3.09,3.04,2.98,2.11,2.15,2.06,NA,0.96,0.88,0.85,0.9,0.83,0.77,0.72,0.74,0.71
"3-20-0.2-50",3.91,3.53,3.3,3.9,3.82,3.65,2.51,2.56,2.99,NA,0.87,0.84,0.77,0.83,0.71,0.56,0.69,0.72,0.8
"3-20-0.2-100",3.92,3.38,2.77,4.14,4.01,3.92,1.89,1.99,2.3,NA,0.9,0.8,0.69,0.88,0.81,0.76,0.56,0.61,0.69
"3-20-0.6-50",3.86,3.72,3.4,3.9,4.02,3.86,3.19,2.88,3.11,NA,0.87,0.86,0.81,0.84,0.7,0.55,0.83,0.81,0.83
"3-20-0.6-100",4.08,3.7,3.48,4.3,3.96,4.07,2.23,2.3,2.64,NA,0.93,0.86,0.82,0.89,0.82,0.76,0.66,0.69,0.77
"5-10-0.2-50",3.05,3,2.91,2.89,2.81,2.66,2.56,2.65,2.66,NA,0.84,0.89,0.87,0.78,0.65,0.46,0.76,0.79,0.79
"5-10-0.2-100",3.12,2.99,2.88,3.01,2.89,2.82,2.39,2.41,2.41,NA,0.96,0.9,0.85,0.83,0.7,0.62,0.71,0.73,0.73
"5-10-0.6-50",3.07,3.11,2.98,2.85,2.8,2.65,2.67,2.74,2.77,NA,0.85,0.95,0.9,0.77,0.63,0.45,0.81,0.84,0.86
"5-10-0.6-100",3.13,2.93,2.84,3.05,2.93,2.86,2.37,2.4,2.42,NA,0.98,0.89,0.86,0.85,0.71,0.62,0.72,0.72,0.74
"5-20-0.2-50",4.37,4.34,4.23,4.14,3.98,3.92,3.44,3.35,3.62,NA,0.84,0.9,0.87,0.77,0.63,0.45,0.83,0.82,0.86
"5-20-0.2-100",4.46,4.39,4.05,4.31,4.24,4.17,2.71,2.93,3.04,NA,0.98,0.94,0.86,0.83,0.71,0.62,0.67,0.74,0.76
"5-20-0.6-50",4.31,4.2,4.11,4.12,3.98,3.95,3.66,3.51,3.51,NA,0.83,0.88,0.89,0.75,0.61,0.45,0.85,0.84,0.84
"5-20-0.6-100",4.45,4.24,4.09,4.33,4.21,4.14,2.89,2.93,3.13,NA,0.98,0.93,0.9,0.84,0.7,0.62,0.72,0.73,0.78
"7-20-0.2-50",4.26,4.39,4.29,3.93,3.8,3.64,3.59,3.67,3.75,NA,0.63,0.91,0.87,0.59,0.4,0.3,0.85,0.86,0.87
"7-20-0.2-100",4.45,4.4,4.18,4.26,4.14,4.03,3.02,3.12,3.18,NA,0.97,0.95,0.85,0.73,0.6,0.47,0.64,0.71,0.73
"7-20-0.6-50",4.23,4.31,4.15,3.93,3.81,3.67,3.81,3.66,3.61,NA,0.62,0.88,0.89,0.58,0.39,0.29,0.88,0.85,0.84
"7-20-0.6-100",4.43,4.28,4.21,4.25,4.11,4.01,2.98,3.21,3.27,NA,0.96,0.93,0.9,0.75,0.6,0.47,0.7,0.72,0.75
"10-20-0.2-50",4.04,4.41,4.34,3.52,3.29,3.21,4.02,4.03,4.12,NA,0.3,0.89,0.88,0.3,0.14,0.08,0.86,0.88,0.89
"10-20-0.2-100",4.46,4.43,4.31,4.05,3.87,3.72,3.29,3.43,3.52,NA,0.98,0.95,0.88,0.61,0.42,0.28,0.67,0.72,0.73
"10-20-0.6-50",4.02,4.34,4.23,3.49,3.31,3.22,4.01,3.77,3.77,NA,0.3,0.85,0.87,0.28,0.12,0.06,0.88,0.85,0.85
"10-20-0.6-100",4.46,4.36,4.3,4,3.86,3.72,3.32,3.39,3.59,NA,0.98,0.94,0.91,0.59,0.42,0.28,0.74,0.74,0.76
